Indicador;Setor;Curso;Nota;ID;Justificativa;Categoria_Bardin;Tags_IA;Pontos_Negativos
1.3;Campus  Politécnico;Produção Cultural (Tecnologia);4,00;2412913;No entanto, os documentos disponibilizados no drive e as falas dos interlocutores não evidenciaram a existência de novas práticas emergentes no campo do conhecimento relacionado ao curso. Quantidade de notas < 5: 7 Média destas notas: 3.71 Termos Frequentes: egresso(19), perfil(17), formação(15), profissional(15), locais(8), trabalho(8), competências(7), apresentadas(7), demandas(7), regionais(7), articulação(6), novas(6), mundo(6), técnicas(6), professores(5);Projeto Pedagógico e Curricular;['#praticas_emergentes_ausentes', '#perfil_egresso_desatualizado', '#desconexao_mercado_trabalho'];"Ausência de evidências sobre práticas emergentes e inovações no campo do conhecimento; fragilidade na articulação entre o perfil do egresso, as competências desenvolvidas e as demandas reais do mundo do trabalho e contextos regionais."
1.3;Campus  Politécnico;MATEMÁTICA (Licenciatura);3,00;2289301;Conforme o PPC (p.7) Sistema E-MEC - O perfil profissional do egresso, se baseia no Perfil do futuro professor-pesquisador da educação básica: “o curso de Licenciatura em Matemática tem por objetivo formar um profissional com visão abrangente do papel do educador, capaz de trabalhar em equipes multidisciplinares, de utilizar instrumentos de pesquisa adequados para a construção de conhecimentos pedagógicos e científicos e de utilizar conhecimentos matemáticos para a compreensão do mundo que o cerca”. Desta forma, conforme observa-se no PPC (p.7), que o referido documento não faz menção sobre possíveis articulações do curso com as necessidades locais e regionais. Não foi possível detectar comprovação documental (específica da UFPR e do curso de Matemática em questão) sobre uma possível identificação/articulação com necessidades locais e regionais, em especial as especificidades da localidade de Curitiba-PR e do seu entorno. O único relatório disponibilizado sobre o sobre os Egressos 2021-2025, também não faz menção sobre isso.;Projeto Pedagógico e Curricular;['#articulacao_regional_ausente', '#ppc_descontextualizado', '#monitoramento_egressos_falho'];"O Projeto Pedagógico de Curso (PPC) não apresenta articulação com as necessidades locais e regionais; ausência de comprovação documental sobre a identificação das especificidades socioeconômicas e educacionais de Curitiba e entorno; o relatório de acompanhamento de egressos não contempla a inserção regional da formação."
1.3;Campus  Politécnico;QUÍMICA (Bacharelado);4,00;2289302;Apesar de ter sido elaborada para a Diretriz de 2015. São expressas 13 competências a serem desenvolvidas pelo discente. A articulação com necessidades locais e regionais se dá pela presença de competências relacionadas à pesquisa sobre a realidade sociocultural e à realidade educacional. Não foram apresentadas evidências de ampliação em função de novas demandas apresentadas pelo mundo do trabalho ou relatórios sobre o mercado de trabalho local ou regional.;Projeto Pedagógico e Curricular;['#desconexao_mercado_trabalho', '#atualizacao_curricular_ausente', '#ausencia_estudo_regional'];Ausência de evidências documentais que comprovem a atualização do currículo frente às novas demandas do mundo do trabalho e falta de relatórios de análise sobre o mercado de trabalho local e regional.
1.3;Campus  Politécnico;GEOGRAFIA (Licenciatura);4,00;2299015;"Com base na análise do PPC e na reunião com a coordenação do curso e NDE, observou-se que o egresso do Curso de Licenciatura em Geografia, na modalidade PRESENCIAL, deve ser um profissional que tenha uma formação bem ampla. O que evidencia um perfil profissional muito vasto com um rol diversificado de habilidades, que engloba diversas dimensões do conhecimento geográfico. No PPC o texto apresenta um perfil híbrido, tanto para os bacharéis como licenciados, contemplando as áreas de ensino, pesquisa e aplicação técnica. Espera-se, assim, que o egresso possa desenvolver plenamente a profissão junto à sociedade, tendo as seguintes capacidades: a) de reflexão teórica e crítica; b) de expressão técnica, para artigos, relatórios, resenhas; c) de percepção e observação; d) de interpretação compreensiva; e) analítica e sintética; f) de aprender a aprender, com análise do conhecimento como processo em construção, em constante mutação. O egresso deve, ainda, construir os seguintes conhecimentos: a) sobre a construção epistemológica da geografia, das suas tendências e das interligações entre eles; b) dos fenômenos particulares do campo da geografia, seu funcionamento, suas inter-relações e da organização do espaço; c) sobre as estruturas e dinâmicas dos processos naturais e humanos, a ação humana e sua relação com o ambiente, em múltiplas escalas; d) sobre a construção e as limitações dos métodos e técnicas de pesquisas, inclusive de métodos pedagógicos; e) de terminologias geográficas, aplicadas aos fenômenos sociais, naturais e suas relações; f) de agendas políticas, como sustentabilidade, cidadania, tolerância, internacionalismo e direitos humanos e as relações com a geografia; g) sobre o mercado profissional e os aspectos legais de atuação; h) crítico do mundo, buscando formas criativas e inovadoras para resolução de problemas geográficos; 1) domínio dos procedimentos e técnicas de gabinete, de laboratório e de campo, utilizados na solução de problemas inerentes à profissão; j) usar e produzir material textual: bibliografia científica, literatura, relatórios; k) técnicos, imprensa escrita e falada, entre outros; 1) como produzir e usar a estatística na aplicação de métodos qualitativos e quantitativos; m) como produzir e interpretar mapas, fotografias aéreas, com uso do sensoriamento remoto e SIG, fotografias, imagens, desenhos e croquis; n) analisar modelos e modelagem, bem como técnicas hermenêuticas, entrevistas e discursivas. Levando-se em conta os objetivos do Curso, que estão bem traçados, observamos que o perfil profissional do egresso não está bem delimitado no que tange as habilidades específicas do professor de geografia e, portanto, falta a articulação com as novas demandas apresentadas pelo mundo do trabalho.";Projeto Pedagógico e Curricular;['#perfil_do_egresso_indefinido', '#lacuna_na_formação_docente', '#desarticulação_com_mercado_de_trabalho'];O perfil do egresso é excessivamente genérico e híbrido, misturando competências de bacharelado e licenciatura sem delimitar claramente as habilidades específicas necessárias para o exercício da docência. Há uma falta de foco nas competências pedagógicas e uma desarticulação entre o perfil proposto e as demandas contemporâneas do mundo do trabalho para professores de Geografia.
1.3;Campus  Reitoria;CIÊNCIAS BIOLÓGICAS (Licenciatura);4,00;2323769;O perfil do egresso está inserido no PPC, 08 de acordo com as DCN do curso, relata o campo de atuação do profissional, no futuras demandas no mercado de trabalho. A matriz curricular configura-se como geradora de oportunidades significativas para aquisição e desenvolvimen do egresso (PPC, 13).;Projeto Pedagógico e Curricular;['#descrição_genérica', '#falha_na_revisão_documental', '#ausência_de_diferencial_inovador'];A justificativa é puramente descritiva e genérica, limitando-se a declarar que o perfil atende às DCNs sem demonstrar excelência ou diferenciais inovadores. Há uma falha de revisão formal (termo 'desenvolvimen' incompleto) e falta de detalhamento sobre como a matriz curricular articula, na prática, as competências necessárias para as demandas futuras citadas.
1.3;Campus Jandaia Do Sul;LETRAS INGLÊS (Licenciatura);4,00;2322586;Entretanto, não há evidências de ampliação do perfil em função de novas demandas do mundo do trabalho, registrando-se que não foram apresentados dados de acompanhamento sistemático dos egressos. O levantamento quantitativo disponibilizado traz apenas dados de fluxo discente (ingressantes, concluintes, estágio, TCC), sem caracterizar acompanhamento de egressos. Logo, justifica-se a atribuição do conceito 4.;Projeto Pedagógico e Curricular;['#acompanhamento_de_egressos', '#perfil_do_egresso', '#demandas_mundo_do_trabalho'];"Ausência de atualização do perfil do egresso frente às novas demandas do mercado de trabalho; falta de um sistema de acompanhamento sistemático de egressos; insuficiência de dados quantitativos, que se limitam ao fluxo interno (ingressantes/concluintes) e não à trajetória profissional pós-formação."
1.3;Campus Reitoria;Ciências Exatas Quimica (Licenciatura);4,00;2275330;Todavia, não foram encontradas evidências de que o perfil do egresso está sendo ampliado em função de novas demandas apresentadas pelo mundo do trabalho.;Projeto Pedagógico e Curricular;['#perfil_do_egresso_desatualizado', '#desconexao_mercado_trabalho', '#ppc_estatico'];"Ausência de evidências de atualização do perfil do egresso frente às transformações contemporâneas do mercado; falta de alinhamento entre as competências desenvolvidas no PPC e as novas exigências do mundo do trabalho."
1.1;Campus Toledo;MATEMÁTICA INDUSTRIAL (Bacharelado);4,00;2251358;Conforme documentos disponibilizados pela IES e informações obtidas em reuniões realizadas, foi constatado pela comissão de avaliadores que as políticas institucionais, estabelecidas no PDI da Universidade Federal do Paraná-UFPR (2022-2026), estão implantadas no âmbito do curso de Matemática Industrial (Bacharelado). Essas políticas de ensino (por exemplos, programas de monitoria, Programa de Educação Tutorial, Programa de inclusão digital), de pesquisa (por exemplos, iniciação científica, envolvimento com eventos científicos, participação em grupos de pesquisa) e de extensão (por exemplos, programas e projetos específicos, inclusive com oferta de bolsas) pretendem, principalmente, que os estudantes vivenciem experiências formativas diversificadas e tenham a oportunidade de uma formação profissional mais sólida, conforme perfil do egresso e objetivos do curso.;Formalização da Inovação e Diferenciação;"[""#ausencia_de_diferencial_inovador"", ""#conformidade_sem_excelencia"", ""#impacto_formativo_generico""]";A justificativa apresenta uma conformidade protocolar às políticas do PDI, mas falha em demonstrar a excelência ou o diferencial inovador necessário para a nota máxima (5). Nota-se uma descrição genérica das atividades (monitoria, PET, iniciação científica) sem a apresentação de resultados concretos, indicadores de impacto ou como essas ações se articulam de forma única para a especificidade da 'Matemática Industrial', sugerindo que o curso cumpre os requisitos, mas não atinge um patamar de referência ou inovação superior.
1.1;Centro Politécnico;ENFERMAGEM (Bacharelado);4,00;2382291;As políticas institucionais de ensino, extensão e pesquisa, estão declaradas PDI e alinhadas no PPC vigente. Durante a visita in loco, foi constatado que elas fazem parte do discurso da Coordenação do curso e, claramente voltadas para a promoção de oportunidades de aprendizagem alinhadas ao perfil do egresso. Da mesma forma, durante a reunião com os docentes, os profissionais explanaram como que os projetos de ensino, pesquisa e extensão serão desenvolvidos, no âmbito do curso de Enfermagem, objetivando práticas exitosas e inivadoras.;Formalização da Inovação e Diferenciação;"[""#ausencia_de_evidencias_praticas"", ""#projetos_em_estagio_inicial"", ""#discurso_sem_consolidacao""]";A justificativa indica que as ações de inovação e os projetos de ensino, pesquisa e extensão ainda estão no plano do 'discurso' ou da intenção futura ('serão desenvolvidos'), evidenciando a falta de resultados consolidados, indicadores de práticas já exitosas ou a plena materialização das políticas institucionais no cotidiano do curso.
1.2;Campus  Politécnico;Pedagogia (Licenciatura);4,00;2324552;Porém não constatou-se aadoção de práticas comprovadamente exitosas ou inovadoras para sua a sua revisão. Quantidade de notas < 5: 5 Média destas notas: 3.20 Termos Frequentes: objetivos(14), formar(10), culturais(9), profissionais(8), implementados(6), educação(6), matemática(5), capaz(5), perfil(5), pesquisador(5), locais(5), regionais(5), básica(5), conforme(5), visam(4);Formalização da Inovação e Diferenciação;"[""#ausencia_inovacao"", ""#revisao_curricular_fragil"", ""#praticas_pedagogicas_obsoletas""]";"Ausência de metodologias inovadoras ou práticas pedagógicas de sucesso comprovado no processo de revisão do curso; falta de atualização do Projeto Pedagógico de Curso (PPC) com base em diferenciais competitivos e modernos."
