Curso;Id_MEC;Ano_avaliacao;Modalidade;Cidade;Campus;ODP;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11;1.12;1.13;1.14;1.15;1.16;1.17;1.18;1.19;1.20;1.21;1.22;1.23;1.24;CDT;2.1;2.2;2.3;2.4;2.5;2.6;2.7;2.8;2.9;2.10;2.11;2.12;2.13;2.14;2.15;2.16;INF;3.1;3.2;3.3;3.4;3.5;3.6;3.7;3.8;3.9;3.10;3.11;3.12;3.13;3.14;3.15;3.16;3.17;CFC;CFA;;;;
GESTÃO E EMPREENDEDORISMO ;1614055;2023;Bacharelado ;Matinhos ;Campus Litoral;3,77    ;4,00;4,00;4,00;4,00;4,00;1,00;;;;4,00;5,00;4,00;5,00;;;5,00;;;4,00;1,00;;;;;4,73    ;5,00;5,00;4,00;4,00;4,00;5,00;5,00;;4,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;3,00;3,00;3,00;4,00;4,00;5,00;4,00;4,00;;;;;;;;;;;4,18;4;;;;
EXPRESSÃO GRÁFICA ;1614185;2023;Bacharelado ;Curitiba ;Campus  Politécnico;4,64    ;5,00;5,00;5,00;5,00;5,00;5,00;;;;5,00;4,00;5,00;5,00;;;5,00;;;4,00;4,00;;;;;5,00    ;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;5,00;;;5,00;;;;5,00;4,88;5,00;5,00;;4,00;5,00;5,00;5,00;5,00;5,00;;;;;;;;;3,59;4;;;;
GESTÃO DA INFORMAÇÃO ;1626408;2023;Bacharelado ;Curitiba ;Campus Jardim Botânico;4,32    ;4,00;4,00;5,00;5,00;2,00;5,00;4,00;;;5,00;5,00;5,00;3,00;4,00;3,00;5,00;5,00;;3,00;5,00;;;;;4,73    ;3,00;4,00;5,00;5,00;5,00;5,00;5,00;;5,00;5,00;5,00;4,00;5,00;5,00;5,00;5,00;3,50;4,00;4,00;;3,00;3,00;3,00;3,00;4,00;4,00;;;;;;;;;4,24;4;;;;
ADMINISTRAÇÃO PÚBLICA;1737165;2022;Bacharelado ;Matinhos ;Campus Litoral;4,24    ;3,00;4,00;4,00;3,00;5,00;5,00;2,00;;;4,00;5,00;5,00;5,00;5,00;5,00;4,00;5,00;;4,00;4,00;;;;;4,80    ;5,00;4,00;5,00;5,00;5,00;5,00;5,00;;5,00;5,00;5,00;5,00;5,00;5,00;3,00;5,00;5,00;5,00;5,00;;5,00;5,00;5,00;5,00;;;;;;;;;;;4,69;5;;;;
GEOGRAFIA ;1776626;2022;Licenciatura ;Matinhos ;Campus Litoral;4,56    ;5,00;5,00;2,00;4,00;3,00;5,00;4,00;5,00;5,00;5,00;5,00;5,00;5,00;;;5,00;;;4,00;5,00;5,00;;;5,00;5    ;5,00;;5,00;5,00;5,00;5,00;;5,00;5,00;;;5,00;;;;3,00;3,00;3,00;3,00;;5,00;5,00;4,00;4,00;5,00;5,00;;;;;;;5,00;;4,58;5;;;;
JORNALISMO ;1796552;2022;Bacharelado ;Curitiba ;Campus Juvevê;4,14    ;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;;4,00;5,00;5,00;5,00;;;4,00;5,00;;5,00;5,00;;;;;4,78    ;5,00;;5,00;5,00;5,00;5,00;5,00;;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;4,44;5,00;5,00;;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;;;;;;4,49;4;;;;
Relações Públicas;1796996;2022;Bacharelado;Curitiba;Juvevê;3,94    ;4,00;4,00;5,00;4,00;4,00;4,00;5;;;4;5;4,00;4,00;3;3;4,00;3;;4,00;3,00;;;;;4,00  ;5,00;3;5,00;4,00;4,00;4,00;4;;4;3;3;5;5;3;3;5,00;4,88;5,00;4,00;;;5,00;5,00;5,00;5;5;;;;;;;;;4;4;;;;
MEDICINA ;1818806;2024;Bacharelado ;Toledo ;Campus Toledo;5,00    ;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;;5,00;5,00;5,00;5,00;;;5,00;;;5,00;5,00;;5,00;5,00;;4,10;4,00;;4,00;4,00;5,00;5,00;4,00;;3,00;;;5,00;;;;3,00;4,00;4,00;5,00;5,00;5,00;4,00;5,00;5,00;;;5,00;5,00;5,00;5,00;;;5,00;5,00;4,6;5;;;;
INFORMÁTICA BIOMÉDICA ;1826625;2023;Bacharelado ;Curitiba ;Campus  Politécnico;4,29    ;5,00;5,00;5,00;5,00;5,00;5,00;4,00;;;4,00;5,00;5,00;5,00;;;5,00;;;5,00;5,00;;;;;3,44    ;4,00;5,00;4,00;4,00;5,00;5,00;5,00;;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;4,88;5,00;4,00;;4,00;5,00;5,00;5,00;5,00;5,00;;;;;;;4,00;;4,88;4;;;;
